Epoch, l_theta, l_f, l_top, l_bottom, weight_theta, weight_f, weight_flux, weight_psi
0, 0.09786781371915741, 1.3168574613035796e-05, 14.404741294849353, 1.0228767811183463, 2000.0, 0.001, 1.0, 1.0
1, 0.0918859931339433, 9.281410705641511e-06, 14.473622207558895, 1.0226521408431413, 2000.0, 0.001, 1.0, 1.0
2, 0.08614654766510323, 6.959775923757114e-06, 14.516490085700323, 1.022359104130091, 2000.0, 0.001, 1.0, 1.0
3, 0.0804175999704865, 6.014777684986856e-06, 14.522947514331754, 1.0219751200715976, 2000.0, 0.001, 1.0, 1.0
4, 0.07470925953842388, 6.150496301706264e-06, 14.501294503481716, 1.0214746291628718, 2000.0, 0.001, 1.0, 1.0
5, 0.06904059655254853, 7.049147985145639e-06, 14.459756705289209, 1.0208321734779338, 2000.0, 0.001, 1.0, 1.0
6, 0.06343976447487411, 8.407288469711616e-06, 14.40372333239446, 1.0200219822472767, 2000.0, 0.001, 1.0, 1.0
7, 0.05794471242447411, 1.0004663908108668e-05, 14.335896828667357, 1.0190171492181417, 2000.0, 0.001, 1.0, 1.0
8, 0.05259533524852568, 1.1737835241059162e-05, 14.257111066370026, 1.0177878848176711, 2000.0, 0.001, 1.0, 1.0
9, 0.047429674745886906, 1.3647269977031677e-05, 14.16703058867067, 1.0162997365440911, 2000.0, 0.001, 1.0, 1.0
10, 0.04248294021185462, 1.5988866696643964e-05, 14.064516971554651, 1.0145126327317648, 2000.0, 0.001, 1.0, 1.0
11, 0.037786855068736226, 1.9439255504344473e-05, 13.94778463975933, 1.0123808389618028, 2000.0, 0.001, 1.0, 1.0
12, 0.03336873219967389, 2.559873364002238e-05, 13.814419873694106, 1.0098540990368283, 2000.0, 0.001, 1.0, 1.0
13, 0.02925057907682572, 3.809871457893322e-05, 13.661326565052981, 1.0068799124132723, 2000.0, 0.001, 1.0, 1.0
14, 0.02544851183629643, 6.483440608348278e-05, 13.484760382133619, 1.0034066534331227, 2000.0, 0.001, 1.0, 1.0
15, 0.021972557545327225, 0.00012217095235300633, 13.280443984867818, 0.9993873544662936, 2000.0, 0.001, 1.0, 1.0
16, 0.018826859776651148, 0.0002424366303200994, 13.043790350794927, 0.9947840616586201, 2000.0, 0.001, 1.0, 1.0
17, 0.016010184778658156, 0.00048663072284317865, 12.770274703690232, 0.9895724339262194, 2000.0, 0.001, 1.0, 1.0
18, 0.013516573692116597, 0.0009650170967502837, 12.455934320417356, 0.9837460864474836, 2000.0, 0.001, 1.0, 1.0
19, 0.011336014657764005, 0.0018690597579444639, 12.098108929294895, 0.977320142871224, 2000.0, 0.001, 1.0, 1.0
20, 0.00945506553123761, 0.003518855895327655, 11.69652607402523, 0.9703335951469108, 2000.0, 0.001, 1.0, 1.0
21, 0.007857408121745384, 0.006430609522696419, 11.254753624737551, 0.9628502985068695, 2000.0, 0.001, 1.0, 1.0
22, 0.006524341820877681, 0.011408000911462518, 10.781996872064887, 0.9549586280138442, 2000.0, 0.001, 1.0, 1.0
23, 0.005435234632225617, 0.019658506300453668, 10.295006540467725, 0.9467700860114894, 2000.0, 0.001, 1.0, 1.0
24, 0.004567945902703213, 0.032929759569640796, 9.819493030860416, 0.9384173726700371, 2000.0, 0.001, 1.0, 1.0
25, 0.003899222287142884, 0.05364938192782307, 9.389734435689926, 0.9300525302948175, 2000.0, 0.001, 1.0, 1.0
26, 0.0034050545103831995, 0.08502960311059568, 9.044353482266418, 0.9218456057697514, 2000.0, 0.001, 1.0, 1.0
27, 0.0030609702029725135, 0.13104793437872958, 8.815338434795716, 0.9139835155641843, 2000.0, 0.001, 1.0, 1.0
28, 0.0028422383162843316, 0.19614988367438765, 8.707451803907535, 0.9066680992809317, 2000.0, 0.001, 1.0, 1.0
29, 0.002724025424622975, 0.2845127562054098, 8.673265634302428, 0.900106380083961, 2000.0, 0.001, 1.0, 1.0
30, 0.002681783171878137, 0.39894515607650144, 8.60802959842753, 0.8944748517592054, 2000.0, 0.001, 1.0, 1.0
31, 0.002692331235833031, 0.5401235495090525, 8.393969476524378, 0.8898660338830484, 2000.0, 0.001, 1.0, 1.0
32, 0.002735499348738995, 0.7070966481254715, 7.979097021041312, 0.8862625324726188, 2000.0, 0.001, 1.0, 1.0
33, 0.0027953932363922, 0.898986812037131, 7.425821375972998, 0.8835678315772456, 2000.0, 0.001, 1.0, 1.0
34, 0.0028607309571728494, 1.116652179733063, 6.88674775332341, 0.8816633666608631, 2000.0, 0.001, 1.0, 1.0
35, 0.002924521483720729, 1.3632669027398323, 6.523537858952754, 0.8804484543460761, 2000.0, 0.001, 1.0, 1.0
36, 0.002983474373379704, 1.6435664208186227, 6.40951997379493, 0.879841169656095, 2000.0, 0.001, 1.0, 1.0
37, 0.0030370455922131886, 1.9610900289930664, 6.467439262515053, 0.8797482160099079, 2000.0, 0.001, 1.0, 1.0
38, 0.0030858100863171392, 2.3130763349457784, 6.511630490977467, 0.8800608180800671, 2000.0, 0.001, 1.0, 1.0
39, 0.0031299037195909023, 2.6864342397673897, 6.375280906105476, 0.8806893106713904, 2000.0, 0.001, 1.0, 1.0
40, 0.003168356652398513, 3.060670201093752, 6.013227411876387, 0.8815872564204464, 2000.0, 0.001, 1.0, 1.0
41, 0.00319909963857493, 3.4156204131427748, 5.519764861370772, 0.8827562695402178, 2000.0, 0.001, 1.0, 1.0
42, 0.0032192623573027647, 3.7339555519974756, 5.055357408795033, 0.8842451872283899, 2000.0, 0.001, 1.0, 1.0
43, 0.0032256650718327394, 3.99730600388363, 4.727296469196522, 0.8861466605483822, 2000.0, 0.001, 1.0, 1.0
